# Batch 18-F — research, scholarly identity, patents, clinical trials and science security.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_research.c by tools/gen_hp_batch.py.
OPENALEX_WORKS|json|any|research|scholarly-work|research,science,bibliometrics,openalex|https://openalex.org|OpenAlex — scholarly works|OpenAlex 学術文献|https://api.openalex.org/works?search={q}&per-page=100|https://api.openalex.org/works?search=hypersonic&per-page=100|The open scholarly graph: every paper with its authors and their institutional affiliations at time of publication, funders and grant numbers, concepts, open-access status, references and citation counts. The affiliation-at-time-of-publication field is what makes research-security work possible, because it dates a researcher institutional move|array_path=results
OPENALEX_AUTHORS|json|any|research|researcher|research,science,person,openalex|https://openalex.org|OpenAlex — researcher profiles|OpenAlex 研究者プロフィール|https://api.openalex.org/authors?search={q}&per-page=100|https://api.openalex.org/authors?search=nakamura&per-page=100|Disambiguated researcher records with ORCID, every institutional affiliation and the years held, works and citation counts, and the concepts the researcher publishes on. The affiliation history is a career timeline assembled from primary publication metadata rather than from a CV|array_path=results
CROSSREF_WORKS|json|any|research|scholarly-work|research,science,doi,crossref|https://www.crossref.org|Crossref — DOI metadata for scholarly works|Crossref DOIメタデータ|https://api.crossref.org/works?query={q}&rows=100|https://api.crossref.org/works?query=semiconductor&rows=100|The DOI registration agency metadata: title, all authors with ORCID and affiliation strings, publisher, journal, publication and acceptance dates, funder awards with grant numbers, licence terms and the full reference list. Funder award numbers are directly traceable to national grant databases|array_path=message.items;id_keys=resource.primary.URL;title_keys=title.0
DATACITE_WORKS|json|any|research|research-dataset|research,data,doi,datacite|https://datacite.org|DataCite — research dataset and software DOIs|DataCite 研究データDOI|https://api.datacite.org/dois?query={q}&page%5Bsize%5D=100|https://api.datacite.org/dois?query=genomics&page%5Bsize%5D=100|DOIs registered for datasets, software, samples and instruments rather than papers, with creators, affiliations, funding references, related identifiers and the hosting repository. Datasets and code are frequently deposited when the corresponding paper is embargoed or never published|array_path=data
EUROPE_PMC_SEARCH|json|any|research|biomedical-literature|research,biomedical,pubmed,literature|https://europepmc.org|Europe PMC — biomedical literature search|Europe PMC 生物医学文献|https://www.ebi.ac.uk/europepmc/webservices/rest/search?query={q}&format=json&pageSize=100|https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=influenza&format=json&pageSize=100|Biomedical and life-science literature including preprints, patents, clinical guidelines and NHS evidence, with author affiliations, grant acknowledgements and full text where open. Broader than PubMed, and it indexes preprint servers where outbreak reporting appears first|array_path=resultList.result
CLINICALTRIALS_STUDIES|json|any|health|clinical-trial|health,clinical-trial,research,pharma|https://clinicaltrials.gov|ClinicalTrials.gov — registered clinical studies|臨床試験登録|https://clinicaltrials.gov/api/v2/studies?query.term={q}&pageSize=100|https://clinicaltrials.gov/api/v2/studies?query.term=vaccine&pageSize=100|Registered interventional and observational studies with the sponsor and collaborators, every participating facility and its location, the intervention, phase, enrolment, eligibility criteria, outcome measures and results where posted. The facility list geolocates a trial network, and the sponsor and collaborator fields expose industry and state relationships|array_path=studies
ARXIV_SEARCH|xml|any|research|preprint|research,preprint,physics,arxiv|https://arxiv.org|arXiv — preprint search|arXiv プレプリント検索|http://export.arxiv.org/api/query?search_query=all:{q}&max_results=100|http://export.arxiv.org/api/query?search_query=all:hypersonic&max_results=100|Preprints in physics, mathematics, computer science, quantitative biology and economics with the full abstract, all authors, affiliations where given, subject categories, DOI where published and every revision. arXiv is where sensitive computational and physics results appear months before journal publication, if they ever appear there|array_path=entry;title_keys=title;id_keys=id
OPENAIRE_RESEARCH|json|any|research|research-output|research,europe,openaire,funding|https://www.openaire.eu|OpenAIRE — European research outputs and projects|OpenAIRE 欧州研究成果|https://api.openaire.eu/search/publications?title={q}&format=json&size=50|https://api.openaire.eu/search/publications?title=quantum&format=json&size=50|The European open science graph linking publications, datasets, software and projects to their EU funding programmes and grant agreements. The project linkage names the Horizon grant and every consortium partner, which is the participant list of a funded collaboration|
SEMANTIC_SCHOLAR_PAPER|json|any|research|scholarly-work|research,science,citations,semanticscholar|https://www.semanticscholar.org|Semantic Scholar — paper and citation graph|Semantic Scholar 論文引用グラフ|https://api.semanticscholar.org/graph/v1/paper/search?query={q}&limit=100&fields=title%2Cyear%2CexternalIds%2Cauthors%2Cabstract%2CfieldsOfStudy|https://api.semanticscholar.org/graph/v1/paper/search?query=lidar&limit=100&fields=title%2Cyear%2CexternalIds%2Cauthors%2Cabstract%2CfieldsOfStudy|Papers with the citation and reference graph, author disambiguation, fields of study, influential-citation counts and external identifiers across DOI, arXiv, PubMed and MAG. The influential-citation measure separates a genuinely load-bearing reference from a courtesy one|array_path=data
UNPAYWALL_DOI|json|any|research|open-access-record|research,openaccess,doi|https://unpaywall.org|Unpaywall — open access status for a DOI|Unpaywall オープンアクセス状況|https://api.unpaywall.org/v2/{q}?email=rayanchouialkessal@gmail.com|https://api.unpaywall.org/v2/10.1038/nature12373?email=rayanchouialkessal@gmail.com|Whether a given DOI has a legally free full text and where it is hosted, with every open location, its version, licence and host type. The route from a paywalled citation to a readable copy, and a record of which repository a preprint was deposited in|
