id	url	kind	items	name	name_ja	collector	category	lang	tags	interval	description
gov-federalregister-docs	https://www.federalregister.gov/api/v1/documents.json?per_page=100&order=newest	json:results	100	US Federal Register — Newest Documents	米国連邦官報 最新文書	government	gazette	en	usa,gazette,regulation,rulemaking	3600	Every rule, proposed rule and notice published in the US Federal Register, newest first, with agency and docket metadata.
gov-federalregister-pi	https://www.federalregister.gov/api/v1/public-inspection-documents/current.json	json:results	80	US Federal Register — Public Inspection	米国連邦官報 事前公開文書	government	gazette	en	usa,gazette,regulation,earlywarning	3600	Documents filed for public inspection before formal Federal Register publication — the earliest sight of new US rules.
gov-federalregister-agencies	https://www.federalregister.gov/api/v1/agencies.json	json-array	472	US Federal Register — Agency Registry	米国連邦官報 発行機関一覧	government	registry	en	usa,registry,agencies	86400	Canonical list of 472 US federal agencies and sub-agencies that publish in the Federal Register.
gov-govinfo-bills	https://www.govinfo.gov/rss/bills.xml	rss	100	GovInfo — Congressional Bills	米国連邦議会 法案	legal	parliament	en	usa,legislation,bills,congress	3600	Newly published US House and Senate bill texts from the Government Publishing Office.
gov-govinfo-plaw	https://www.govinfo.gov/rss/plaw.xml	rss	100	GovInfo — Public Laws	米国 成立法律	legal	parliament	en	usa,legislation,statute	86400	Public Laws as enacted, published by the US Government Publishing Office.
gov-govinfo-fr	https://www.govinfo.gov/rss/fr.xml	rss	100	GovInfo — Federal Register Issues	米国連邦官報 発行号	government	gazette	en	usa,gazette,regulation	3600	Daily Federal Register issues as released on GovInfo.
gov-govinfo-dcpd	https://www.govinfo.gov/rss/dcpd.xml	rss	99	GovInfo — Presidential Documents	米国大統領文書集	government	gazette	en	usa,president,executive,proclamations	86400	Compilation of Presidential Documents: executive orders, proclamations, remarks and memoranda.
gov-govinfo-chrg	https://www.govinfo.gov/rss/chrg.xml	rss	100	GovInfo — Congressional Hearings	米国連邦議会 公聴会記録	legal	parliament	en	usa,congress,hearings,transcripts	86400	Full transcripts of US Congressional committee hearings as published.
gov-govinfo-budget	https://www.govinfo.gov/rss/budget.xml	rss	99	GovInfo — US Budget Documents	米国連邦予算文書	government	statistics	en	usa,budget,fiscal	86400	Budget of the United States Government documents and appendices.
gov-govinfo-cdoc	https://www.govinfo.gov/rss/cdoc.xml	rss	100	GovInfo — Congressional Documents	米国連邦議会 文書	legal	parliament	en	usa,congress,documents	86400	Congressional documents submitted to the House and Senate.
gov-govinfo-cfr	https://www.govinfo.gov/rss/cfr.xml	rss	100	GovInfo — Code of Federal Regulations	米国連邦規則集	legal	regulator	en	usa,regulation,cfr,codified	86400	Annual and updated titles of the US Code of Federal Regulations.
gov-govinfo-comps	https://www.govinfo.gov/rss/comps.xml	rss	100	GovInfo — Statute Compilations	米国 法令編纂集	legal	parliament	en	usa,statute,compilation	86400	Compilations of statutes as amended, prepared by the House Office of the Law Revision Counsel.
gov-govinfo-cprt	https://www.govinfo.gov/rss/cprt.xml	rss	99	GovInfo — Congressional Committee Prints	米国議会委員会印刷物	legal	parliament	en	usa,congress,committee	86400	Committee prints: staff studies and background reports prepared for US Congressional committees.
gov-govinfo-crec	https://www.govinfo.gov/rss/crec.xml	rss	100	GovInfo — Congressional Record	米国連邦議会議事録	legal	parliament	en	usa,congress,hansard,debates	3600	The daily Congressional Record — verbatim proceedings of the US House and Senate.
gov-govinfo-crpt	https://www.govinfo.gov/rss/crpt.xml	rss	100	GovInfo — Congressional Reports	米国連邦議会 報告書	legal	parliament	en	usa,congress,reports	86400	House and Senate committee reports accompanying legislation.
gov-govinfo-gaoreports	https://www.govinfo.gov/rss/gaoreports.xml	rss	54	GovInfo — GAO Reports	米国会計検査院 報告書	government	transparency	en	usa,audit,oversight,gao	86400	Government Accountability Office audit and oversight reports as published on GovInfo.
gov-govinfo-hob	https://www.govinfo.gov/rss/hob.xml	rss	44	GovInfo — History of Bills	米国 法案審議経過	legal	parliament	en	usa,congress,legislative-history	86400	History of Bills: procedural action trail for legislation before the US Congress.
gov-govinfo-statute	https://www.govinfo.gov/rss/statute.xml	rss	100	GovInfo — Statutes at Large	米国 法令全書	legal	parliament	en	usa,statute,statutes-at-large	86400	United States Statutes at Large, the permanent collection of enacted federal law.
gov-govinfo-uscode	https://www.govinfo.gov/rss/uscode.xml	rss	100	GovInfo — United States Code	米国 合衆国法典	legal	parliament	en	usa,statute,uscode,codified	86400	Newly released titles and sections of the codified United States Code.
gov-congress-most-viewed	https://www.congress.gov/rss/most-viewed-bills.xml	rss	1	Congress.gov — Most-Viewed Bills	米国議会 閲覧上位法案	legal	parliament	en	usa,congress,bills,attention	86400	Weekly ranking of the bills the public is reading most on congress.gov — a cheap attention signal on US legislation.
gov-govtrack-bills	https://www.govtrack.us/api/v2/bill?limit=50&order_by=-current_status_date	json:objects	50	GovTrack — US Bill Status	GovTrack 米国法案ステータス	legal	parliament	en	usa,congress,bills,status	3600	Structured status changes for US federal bills, ordered by most recent action.
gov-govtrack-votes	https://www.govtrack.us/api/v2/vote?limit=50&order_by=-created	json:objects	50	GovTrack — US Congressional Votes	GovTrack 米国議会採決	legal	parliament	en	usa,congress,votes,rollcall	3600	Roll-call votes in the US House and Senate with chamber, result and question.
gov-govtrack-roles	https://www.govtrack.us/api/v2/role?limit=50&current=true	json:objects	50	GovTrack — Sitting Members of Congress	GovTrack 現職議員一覧	legal	parliament	en	usa,congress,members,pep	86400	Current US Senators and Representatives with party, state and term dates.
gov-sec-speeches	https://www.sec.gov/news/speeches-statements.rss	rss	25	SEC — Speeches and Statements	米国SEC 講演・声明	finance	regulator	en	usa,sec,securities,regulator	3600	Speeches and public statements by US Securities and Exchange Commission officials.
gov-cftc-press	https://www.cftc.gov/RSS/RSSGP/rssgp.xml	rss	10	CFTC — Press Releases	米国CFTC 報道発表	finance	regulator	en	usa,cftc,derivatives,regulator	3600	Press releases from the US Commodity Futures Trading Commission.
gov-occ-bulletins	https://www.occ.gov/rss/occ_bulletins.xml	rss	10	OCC — Supervisory Bulletins	米国通貨監督庁 監督通達	finance	regulator	en	usa,occ,banking,supervision	86400	Bulletins issued by the Office of the Comptroller of the Currency to national banks.
gov-fed-speeches	https://www.federalreserve.gov/feeds/speeches.xml	rss	15	Federal Reserve — Speeches	FRB 講演	finance	regulator	en	usa,fed,centralbank,speeches	3600	Speeches by Federal Reserve Board governors and the Chair.
gov-fed-testimony	https://www.federalreserve.gov/feeds/testimony.xml	rss	15	Federal Reserve — Congressional Testimony	FRB 議会証言	finance	regulator	en	usa,fed,centralbank,testimony	3600	Federal Reserve testimony delivered to US Congressional committees.
gov-fed-press-bcreg	https://www.federalreserve.gov/feeds/press_bcreg.xml	rss	15	Federal Reserve — Banking Supervision Releases	FRB 銀行監督発表	finance	regulator	en	usa,fed,banking,supervision	3600	Federal Reserve announcements on banking supervision and regulation.
gov-fed-press-monetary	https://www.federalreserve.gov/feeds/press_monetary.xml	rss	15	Federal Reserve — Monetary Policy Releases	FRB 金融政策発表	finance	regulator	en	usa,fed,monetary,fomc	3600	FOMC statements, minutes and other monetary policy announcements.
