# Batch 25 - jpmedia2: regional dailies, broadcasters and trade press that were
# absent from the tree. Feeds were found by autodiscovery from each site's own
# <link rel=alternate> and, where a site advertised nothing, by walking the
# conventional CMS paths - several of these sit at undocumented paths
# (hokkaido-np's /output/7/free/index.ad.xml, sanyonews' /output/free.xml) that
# no amount of guessing /rss.xml would have found.
# Two are WordPress REST APIs rather than RSS: where wp-json works it returns
# the full excerpt, date and categories instead of an RSS summary.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JPMEDIA_HOKKAIDO_SHIMBUN|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.hokkaido-np.co.jp/|Hokkaido Shimbun|北海道新聞|https://www.hokkaido-np.co.jp/output/7/free/index.ad.xml|https://www.hokkaido-np.co.jp/output/7/free/index.ad.xml|Wire feed of Japan's largest regional daily, covering Hokkaido politics and economy and the Russia-adjacent security stories the national press underweights.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_SANYO_SHIMBUN|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.sanyonews.jp/|Sanyo Shimbun|山陽新聞|https://www.sanyonews.jp/output/free.xml|https://www.sanyonews.jp/output/free.xml|Okayama prefecture daily's wire feed, covering Setouchi industrial and port activity.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_KAHOKU_SHIMPO|xml|any|media|news-article|japan,media,news,regional,tradepress|https://kahoku.news/|Kahoku Shimpo|河北新報|https://kahoku.news/rss/index.xml|https://kahoku.news/rss/index.xml|Miyagi and Tohoku's dominant regional daily, an unusually deep 993-item wire; the strongest single feed for Tohoku disaster-recovery and Sendai-area monitoring.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_RYUKYU_SHIMPO|json|any|media|news-article|japan,media,news,regional,tradepress|https://ryukyushimpo.jp/|Ryukyu Shimpo|琉球新報|https://ryukyushimpo.jp/wp-json/wp/v2/posts?per_page=100|https://ryukyushimpo.jp/wp-json/wp/v2/posts?per_page=100|WordPress REST API for one of Okinawa's two major dailies, returning full excerpt, date and categories rather than an RSS summary, for base-politics and Okinawa-security coverage.|interval=10800;title_keys=title.rendered;id_keys=id;date_keys=date,modified;link_keys=link;page_param=page;page_size=100;page_start=1
JPMEDIA_TBC_TOHOKU|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.tbc-sendai.co.jp/|TBC Tohoku Broadcasting|東北放送|https://www.tbc-sendai.co.jp/feed|https://www.tbc-sendai.co.jp/feed|Sendai JNN affiliate news feed for Tohoku broadcast and economic activity.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_QAB_OKINAWA|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.qab.co.jp/|QAB Ryukyu Asahi Broadcasting|琉球朝日放送|https://www.qab.co.jp/feed/|https://www.qab.co.jp/feed/|Okinawa ANN-affiliate television news feed, the cross-check against Ryukyu Shimpo and RBC for base and disaster coverage.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_RESPONSE_AUTO|xml|any|media|news-article|japan,media,news,regional,tradepress|https://response.jp/|Response|レスポンス|https://response.jp/rss20/index.rdf|https://response.jp/rss20/index.rdf|Japan's leading automotive and mobility trade wire: EV, autonomous-driving and industry announcements ahead of the general press.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_CNET_JAPAN|xml|any|media|news-article|japan,media,news,regional,tradepress|https://feed.japan.cnet.com/|CNET Japan|CNET Japan|http://feed.japan.cnet.com/rss/index.rdf|http://feed.japan.cnet.com/rss/index.rdf|General technology and enterprise-IT news wire for the Japanese market.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_ZDNET_JAPAN|xml|any|media|news-article|japan,media,news,regional,tradepress|https://feed.japan.zdnet.com/|ZDNet Japan|ZDNet Japan|http://feed.japan.zdnet.com/rss/index.rdf|http://feed.japan.zdnet.com/rss/index.rdf|Enterprise IT and security trade press, useful for corporate technology-adoption and breach-disclosure monitoring.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_TRAICY|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.traicy.com/|Traicy|トライシー|https://www.traicy.com/feed|https://www.traicy.com/feed|Aviation and travel-industry trade news: airline routes, LCC announcements and tourism policy.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_TRAVELVOICE|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.travelvoice.jp/|TravelVoice|トラベルボイス|https://www.travelvoice.jp/feed|https://www.travelvoice.jp/feed|Inbound-tourism trade press tracking the visitor economy and prefectural tourism-board announcements.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_RYUTSUU_NEWS|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.ryutsuu.biz/|Ryutsuu News|流通ニュース|https://www.ryutsuu.biz/feed|https://www.ryutsuu.biz/feed|Retail and distribution trade press: supply-chain, convenience-store and e-commerce moves, naming the operators.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_LOGMI|xml|any|media|news-article|japan,media,news,regional,tradepress|https://logmi.jp/|Logmi Business|ログミーBiz|https://logmi.jp/RSS/feed.xml|https://logmi.jp/RSS/feed.xml|Full-transcript service for Japanese business conferences and briefings — verbatim executive statements rather than a journalist's paraphrase.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_DENKI_SHIMBUN|json|any|media|news-article|japan,media,news,regional,tradepress|https://www.denkishimbun.com/|Denki Shimbun|電気新聞|https://www.denkishimbun.com/wp-json/wp/v2/posts?per_page=100|https://www.denkishimbun.com/wp-json/wp/v2/posts?per_page=100|The electric-power industry's own trade paper (utilities, nuclear restart status, grid policy), via its full-text WordPress API.|interval=10800;title_keys=title.rendered;id_keys=id;date_keys=date,modified;link_keys=link;page_param=page;page_size=100;page_start=1
JPMEDIA_SHOGAKUKAN|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.shogakukan.co.jp/|Shogakukan|小学館|https://www.shogakukan.co.jp/rss.xml|https://www.shogakukan.co.jp/rss.xml|Major publisher's release wire, tracking intellectual-property and licensing announcements.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_GENTOSHA|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.gentosha.co.jp/|Gentosha|幻冬舎|https://www.gentosha.co.jp/topic/rss.xml|https://www.gentosha.co.jp/topic/rss.xml|Publisher news and topics feed: new releases and author announcements.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
JPMEDIA_SHUEISHA|xml|any|media|news-article|japan,media,news,regional,tradepress|https://www.shueisha.co.jp/|Shueisha|集英社|https://www.shueisha.co.jp/feed|https://www.shueisha.co.jp/feed|A 388-item wire from Weekly Shonen Jump's parent, for tracking IP, licensing and legal announcements at volume.|interval=10800;array_path=item;title_keys=title;id_keys=link;date_keys=pubDate,date,updated,published;link_keys=link;pagination_ok=a site feed is the publisher's current window and carries no paging parameter
