# Batch 19 — cyber threat intelligence, vulnerability data and internet measurement.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Every row below returned at least one real record over the wire via tools/probe_hp_batch.py.
UBUNTU_CVE_BY_PACKAGE|json|any|threat|vulnerability-record|vulnerability,linux,ubuntu,package|https://ubuntu.com/security|Ubuntu Security — CVEs affecting a source package|Ubuntu セキュリティ パッケージ別CVE|https://ubuntu.com/security/cves.json?package={q}&limit=20|https://ubuntu.com/security/cves.json?package=openssl&limit=20|Every CVE Canonical tracks against one source package, each with the per-release fix status, the CVSS vector, the assigned priority and the upstream references. The per-release status is what tells you whether a running LTS machine is actually exposed, which the raw NVD entry never says|array_path=cves;page_param=offset;page_size=20;detail_url=https://ubuntu.com/security/cves/{v}.json;detail_key=id
UBUNTU_CVE_DETAIL|json|any|threat|vulnerability-record|vulnerability,linux,ubuntu,cve|https://ubuntu.com/security|Ubuntu Security — CVE record|Ubuntu セキュリティ CVE詳細|https://ubuntu.com/security/cves/{qU}.json|https://ubuntu.com/security/cves/CVE-2021-3711.json|The full Canonical assessment of one CVE: affected source packages, per-series status and fix version, priority, notes from the security team, patch links and the USNs that shipped the fix. This is the record behind the list, and it names the exact package version that closes the hole|title_keys=id;body_keys=description
UBUNTU_USN_BY_CVE|json|any|threat|advisory-record|advisory,linux,ubuntu,usn|https://ubuntu.com/security/notices|Ubuntu Security Notices by CVE|Ubuntu セキュリティ通知|https://ubuntu.com/security/notices.json?cve_id={qU}|https://ubuntu.com/security/notices.json?cve_id=CVE-2021-3711|Ubuntu Security Notices that reference a given CVE, each carrying the published date, the affected releases and the exact binary package versions shipped as the fix. Pivoting a CVE to the vendor advisory that closed it is the join most vulnerability feeds leave to the reader|array_path=notices;page_param=offset;page_size=10;detail_url=https://ubuntu.com/security/notices/{v}.json;detail_key=id
REDHAT_CVE_BY_PACKAGE|json|any|threat|vulnerability-record|vulnerability,linux,redhat,package|https://access.redhat.com/security|Red Hat Security Data API — CVEs by package|Red Hat セキュリティ パッケージ別CVE|https://access.redhat.com/hydra/rest/securitydata/cve.json?package={q}&per_page=100|https://access.redhat.com/hydra/rest/securitydata/cve.json?package=openssl&per_page=100|Red Hat's own CVE index filtered to one package, each entry with the severity, CVSS3 vector, public date, affected release list and the advisories that address it. The second hop pulls the full record including per-product fix state and mitigation text|page_param=page;page_start=1;detail_url=https://access.redhat.com/hydra/rest/securitydata/cve/{v}.json;detail_key=CVE;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/)
ARCHLINUX_SEC_PACKAGE|json|any|threat|vulnerability-record|vulnerability,linux,arch,package|https://security.archlinux.org|Arch Linux Security Tracker — package issues|Arch Linux セキュリティ パッケージ|https://security.archlinux.org/package/{q}/json|https://security.archlinux.org/package/openssl/json|Every open and resolved security issue for one Arch package, with the CVE list, the advisory group, the severity, the affected and fixed versions and the ticket status. Arch tracks upstream faster than most distributions so this often carries a fixed version before the enterprise trackers do|array_path=issues;detail_url=https://security.archlinux.org/{v}/json;detail_key=name
ARCHLINUX_SEC_CVE|json|any|threat|vulnerability-record|vulnerability,linux,arch,cve|https://security.archlinux.org|Arch Linux Security Tracker — CVE record|Arch Linux セキュリティ CVE|https://security.archlinux.org/{qU}/json|https://security.archlinux.org/CVE-2024-3094/json|One CVE as Arch assesses it: type, severity, affected packages, the advisory groups it belongs to and the remote or local attack classification. The type field categorises the flaw class in a way NVD's CWE mapping frequently omits|title_keys=name
ARCHLINUX_SEC_GROUP|json|any|threat|advisory-record|advisory,linux,arch,avg|https://security.archlinux.org|Arch Linux Security Tracker — advisory group|Arch Linux 勧告グループ|https://security.archlinux.org/group/{qU}/json|https://security.archlinux.org/group/AVG-2735/json|An Arch vulnerability group bundles the CVEs fixed by one package update, listing each issue, the affected and fixed package versions, the severity and the workaround. The group is the unit an administrator actually acts on|title_keys=name
ALPINE_SECDB_BRANCH_MAIN|json|any|threat|vulnerability-record|vulnerability,linux,alpine,container|https://secdb.alpinelinux.org|Alpine Linux secdb — main repository by branch|Alpine セキュリティDB main|https://secdb.alpinelinux.org/{q}/main.json|https://secdb.alpinelinux.org/v3.22/main.json|The Alpine security database for one release branch: every package in the main repository with the list of CVEs fixed in each version. Alpine is the base of a very large share of container images so this maps directly onto container exposure|array_path=packages
ALPINE_SECDB_BRANCH_COMMUNITY|json|any|threat|vulnerability-record|vulnerability,linux,alpine,container|https://secdb.alpinelinux.org|Alpine Linux secdb — community repository by branch|Alpine セキュリティDB community|https://secdb.alpinelinux.org/{q}/community.json|https://secdb.alpinelinux.org/v3.21/community.json|Same per-branch secdb for the community repository, which is where most application-level packages in Alpine images live. Each entry maps a package version to the CVEs it fixes|array_path=packages
ALMALINUX_ERRATA_8|json|any|threat|advisory-record|advisory,linux,almalinux,errata|https://errata.almalinux.org|AlmaLinux 8 errata full dump|AlmaLinux 8 エラータ全件|https://errata.almalinux.org/8/errata.full.json|https://errata.almalinux.org/8/errata.full.json|The complete AlmaLinux 8 errata register as one bulk file: every ALSA, ALBA and ALEA advisory with its type, severity, issued date, description, referenced CVEs and the exact RPM NEVRAs shipped. A full register rather than a search box, so the whole advisory history is reachable in one request|array_path=data;interval=86400
