# Batch 25 - jpdeep: Japanese cyber / threat / identity surface, public only.
# Beat: CERT and registry feeds (JPRS, JPNIC, Anti-Phishing Council, JC3, PPC),
# Japanese security vendor and researcher feeds (LAC, Macnica, NRI Secure, IIJ,
# NFLabs, FFRI, SIOS, MBSD, Trend Micro JP, Kaspersky JP, Flatt, Tokumaru),
# Japanese incident/leak trackers (piyolog, TT Malware Log, Security NEXT,
# ScanNetSecurity, gate02 incident news, cacco fraud lab), BBS archives
# (open2ch boards as thread listings), BGP/IX data with Japan scope
# (bgp.he.net JP, potaroo AS reports), and public spam/C2/Tor blocklists
# (global feeds that carry JP entries, hosts not already in the tree).
# Harvest: feed autodiscovery on ~60 JP security hosts, sitemap/menus, web
# search, then curl proof-of-life for every URL (2xx, declared mode, >=2 real
# records). Pivot rows were also asked about an impossible entity.
# Probed ~300 URLs: kept 70, rejected ~230 (see rejected-sources-batch25-jpdeep.tsv).
# EXCLUDED by the host list and therefore absent although central to the beat:
# jvn.jp, jvndb.jvn.jp, jpcert.or.jp, ipa.go.jp, nict.go.jp, nicter.jp, npa.go.jp,
# t.me, 5ch.net, web.archive.org, urlhaus/threatfox/openphish/phishtank,
# ransomware.live/ransomlook. Honest ceiling for this beat without those hosts
# was 70, not 110 (26 further live rows were dropped as host duplicates of the tree or of batch 23 jpdeep): the JP whois gateways return one record per query, the JPNIC
# statistics files are ISO-2022-JP text from 1999, and every ransomware-victim
# tracker not already in the tree is a JS app or paywalled.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
#
# ---- Registry / CERT / council feeds ----
JP25_JPDEEP_ANTIPHISHING_DATABASE_HTML|html|any|security|phishing-report|japan,phishing,antiphishing,database|https://www.antiphishing.jp|Council of Anti-Phishing Japan - report database|フィッシング対策協議会 事例データベース|https://www.antiphishing.jp/news/database/|https://www.antiphishing.jp/news/database/|The council's case database listing, 70 anchors into /news/database/ at probe time, each a documented phishing case with the imitated service and the observed URL pattern. It complements the alert archive with cases that did not warrant a public alert.|href_must=/news/database/;base=https://www.antiphishing.jp;interval=86400
JP25_JPDEEP_ANTIPHISHING_INFO_HTML|html|any|security|phishing-notice|japan,phishing,antiphishing,notice|https://www.antiphishing.jp|Council of Anti-Phishing Japan - information notices|フィッシング対策協議会 お知らせ一覧|https://www.antiphishing.jp/news/info/|https://www.antiphishing.jp/news/info/|Council notices other than brand alerts: monthly phishing-report counts, guideline releases, member announcements. 252 anchors into /news/info/ at probe time. The monthly counts are the only public time series of reported phishing in Japan.|href_must=/news/info/;base=https://www.antiphishing.jp;interval=86400
JP25_JPDEEP_JPRS_WHATSNEW_RSS|xml|any|internet|registry-notice|japan,jprs,dns,domain,registry,notice|https://jprs.jp|JPRS - latest information RSS|JPRS 最新情報 RSS|https://jprs.jp/whatsnew/rss/jprs.rdf|https://jprs.jp/whatsnew/rss/jprs.rdf|The .jp registry's own feed: DNS vulnerability advisories, registrar policy changes, root/TLD operations notices and statistics releases, 20 items with dc:date at probe time. Any change to how .jp names are registered, transferred or deleted appears here first.|array_path=item;title_keys=title;id_keys=link;date_keys=dc:date;link_keys=link;interval=10800;pagination_ok=RSS 1.0 feed with no page parameter
JP25_JPDEEP_JPRS_NOTICE_HTML|html|any|internet|registry-notice|japan,jprs,dns,domain,registry,archive|https://jprs.jp|JPRS - notice archive|JPRS お知らせ一覧|https://jprs.jp/whatsnew/notice/|https://jprs.jp/whatsnew/notice/|The full notice archive behind the RSS: 128 anchors into /whatsnew/notice/ at probe time, back to older registrar and registry-policy notices the 20-item feed no longer carries.|href_must=/whatsnew/notice/;base=https://jprs.jp;interval=86400
JP25_JPDEEP_JPRS_TOPICS_HTML|html|any|internet|registry-topic|japan,jprs,dns,domain,registry|https://jprs.jp|JPRS - topics archive|JPRS トピックス一覧|https://jprs.jp/whatsnew/topics/|https://jprs.jp/whatsnew/topics/|JPRS topic pieces (statistics releases, new-service launches, incident explanations), 29 anchors into /whatsnew/topics/ at probe time.|href_must=/whatsnew/topics/;base=https://jprs.jp;interval=86400
JP25_JPDEEP_JPRS_TECH_SECURITY_HTML|html|any|security|dns-advisory|japan,jprs,dns,bind,vulnerability,advisory|https://jprs.jp|JPRS - DNS software security advisories|JPRS DNS関連技術情報 緊急|https://jprs.jp/tech/|https://jprs.jp/tech/|JPRS republishes and annotates every BIND, Unbound, NSD and Knot vulnerability with its impact on Japanese operators, and the /tech/ index links 294 such advisories into /tech/security/. It is the canonical Japanese-language DNS vulnerability record.|href_must=/tech/security/;base=https://jprs.jp;interval=21600
JP25_JPDEEP_JPRS_CO_TOPICS_HTML|html|any|internet|registry-topic|japan,jprs,registry,corporate,topic|https://jprs.co.jp|JPRS corporate site - topics|JPRS 株式会社 トピックス|https://jprs.co.jp/topics/|https://jprs.co.jp/topics/|The corporate-site topic list of the registry operator, 16 anchors into /topics/2026/ at probe time plus per-year archive links, carrying company announcements that the registry-policy feed does not.|href_must=/topics/20;base=https://jprs.co.jp;interval=86400
JP25_JPDEEP_JPNIC_SITE_RSS|xml|any|internet|nic-notice|japan,jpnic,ip,asn,registry,notice|https://www.nic.ad.jp|JPNIC - site-wide RSS|JPNIC Web 更新情報|https://www.nic.ad.jp/ja/index.xml|https://www.nic.ad.jp/ja/index.xml|Every page update on the Japan Network Information Center site (IP allocation policy, AS number notices, IRR changes, events), 17 items with pubDate at probe time. JPNIC is the only body that assigns IP addresses and AS numbers in Japan, so its notices are the ground truth for Japanese number-resource changes.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;interval=10800;pagination_ok=site feed with no page parameter
JP25_JPDEEP_JPNIC_NEWSVIEWS_RSS|xml|any|internet|newsletter|japan,jpnic,newsletter,ip,asn|https://www.nic.ad.jp|JPNIC - News and Views mail magazine|JPNIC News and Views バックナンバー|https://www.nic.ad.jp/ja/mailmagazine/backnumber/index.xml|https://www.nic.ad.jp/ja/mailmagazine/backnumber/index.xml|Back numbers of JPNIC's mail magazine (5 items at probe), each issue summarising address-policy decisions, abuse and routing-security topics discussed in the Japanese operator community.|array_path=item;title_keys=title;id_keys=link,guid;date_keys=pubDate;link_keys=link;interval=86400;pagination_ok=site feed with no page parameter
JP25_JPDEEP_JPNIC_TOPICS_HTML|html|any|internet|nic-notice|japan,jpnic,notice,archive|https://www.nic.ad.jp|JPNIC - topics and notices archive|JPNIC トピックスとお知らせ一覧|https://www.nic.ad.jp/ja/topics/|https://www.nic.ad.jp/ja/topics/|The notice archive page, 65 anchors into /ja/topics/ at probe time, deeper than the RSS and including historical hijack and abuse notices.|href_must=/ja/topics/;base=https://www.nic.ad.jp;interval=86400
