url	stage	reason	detail
https://www.mcafee.com/blogs/ja-jp/feed/	probe	TIMEOUT	pre-screen fetched the feed once in 3.6 s (5 items); probe_hp_batch.py timed out on three serial attempts spread over 25 minutes, so the row was dropped as unproven
https://menu.5ch.net/bbsmenu.json	prescreen	HTTP_403	5ch answers 403 to every request from this host (menu, egg/mevius subject.txt, find.5ch.net search)
https://jbbs.shitaraba.net/computer/42710/subject.txt	prescreen	HTTP_403	shitaraba (jbbs) 403 on subject.txt, rss.cgi, board index and search.cgi; rentalbbs.shitaraba.net does not resolve
https://open2ch.net/menu/pc_menu.html	prescreen	HTTP_403	board menu blocked; individual board subject.txt files answer and were registered by board name
https://uni.open2ch.net/hack/subject.txt	prescreen	ALREADY_REGISTERED	hack, linux, network, news, poverty, prog, sec boards are batch 25 jpdeep (HTML) and newsplus/news4vip/livejupiter are batch 24 jpbbs; uni and hayabusa serve byte-identical indexes for the same board so a second host is the same board
https://uni.open2ch.net/bitcoin/subject.txt	prescreen	HTTP_404	board does not exist (also hangul)
https://kaken.nii.ac.jp/opensearch/?qm={q}&format=json	prescreen	HTTP_403	KAKEN and NRID opensearch answer 403 from the build host on every parameter tried; the KAKEN qm pivot is registered anyway
https://irdb.nii.ac.jp/oai?verb=ListRecords&metadataPrefix=oai_dc	prescreen	NO_RECORDS	OAI-PMH answers badArgument to ListRecords with oai_dc and jpcoar_1.0, with and without from=; only ListSets/Identify work
https://api.jstage.jst.go.jp/searchapi/do?service=2&material={q}	prescreen	FILTER_IGNORED	service=2 material search returns a single ERR_001 envelope for a real journal name and for an impossible one alike; only the six service=3 quoted-phrase fields were kept
https://api.jstage.jst.go.jp/searchapi/do?service=3&article={q}	prescreen	FILTER_IGNORED	UNQUOTED form: J-STAGE ORs digit tokens, so the impossible entity zzqx9nonexistent7q matched 164,804 articles; re-pointed at the quoted-phrase form which returns zero entries for it and 20,022 for a real title word
https://www.nicovideo.jp/tag/{q}?rss=2.0	prescreen	BOT_WALL	the rss=2.0 tag/search/ranking endpoints return an HTML shell with 0 anchors for every User-Agent tried; nvapi ranking 404; public.api.nicovideo.jp does not resolve; snapshot search is registered
https://auctions.yahoo.co.jp/search/search?p={q}	prescreen	HTTP_403	Yahoo Auctions, Chiebukuro and PayPay Flea Market all 403
https://www.jpo.go.jp/rss/	prescreen	HTTP_403	every JPO RSS path guessed answers 403; J-PlatPat has no open API
https://www1.kaiho.mlit.go.jp/TUHO/	prescreen	HTTP_403	JCG navigational-warning (TUHO/NAVTEX) tree is 403 or 404 on every path tried; the JCG HQ Atom and umianzen RSS are batch 25
https://www.jaxa.jp/rss/	prescreen	HTTP_403	rss directory 403, guessed rdf names 404 except press_j.rdf (registered); global.jaxa.jp/press/ is JS-rendered (857 bytes, 0 anchors)
https://www.jal.co.jp/cms/other/ja/weather_info_dom.html	prescreen	NO_RECORDS	JAL and ANA flight-status pages are JS-rendered (23 and 17 nav anchors, no JSON endpoint found); Narita likewise; Centrair 403
https://www.nisc.go.jp/rss/nisc-info.xml	prescreen	NO_RECORDS	every nisc.go.jp path returns the same 39-anchor placeholder page; NISC moved to cyber.go.jp, which is in the batch 25 review list
https://www.npa.go.jp/bureau/cyber/koho/	prescreen	HTTP_404	cyber bureau koho subpages 404; the observation page is registered
https://www.jnsa.org/rss/index.xml	prescreen	HTTP_404	JNSA rss.xml is batch 25 jpdeep; seminar/update pages carry no list
https://www.nca.gr.jp/member/index.html	prescreen	NO_RECORDS	21 anchors, no member list; nca.jp corporate_list is batch 25
