# Batch 18-G — maritime, ports, aviation infrastructure, trade and logistics.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_maritime.c by tools/gen_hp_batch.py.
DIGITRAFFIC_TRAINS|json|any|transport|train-schedule|transport,rail,train,finland|https://www.digitraffic.fi|Fintraffic — train composition and schedule|フィンランド 列車編成|https://rata.digitraffic.fi/api/v1/trains/latest/1|https://rata.digitraffic.fi/api/v1/trains/latest/1|Train records with the operator, category, every timetable row with scheduled and actual times per station, cancellations and the cause codes for delay. Cause codes attribute a delay to infrastructure, rolling stock or operations|interval=21600;title_keys=trainType,commuterLineID;id_keys=trainNumber
OVERPASS_PORT_INDUSTRIAL|json|any|maritime|port|maritime,port,infrastructure,geo|https://overpass-api.de|Overpass - industrial port facilities|Overpass 工業港湾施設|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22industrial%22%3D%22port%22%5D%2851.3%2C-0.5%2C51.7%2C0.3%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22industrial%22%3D%22port%22%5D%2851.3%2C-0.5%2C51.7%2C0.3%29%3Bout%20center%20100%3B|Port and harbour facilities as mapped in OpenStreetMap with operator, berth structure and the industrial classification. Community mapping of port infrastructure covers terminals whose operators publish nothing|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OVERPASS_HARBOUR|json|any|maritime|harbour|maritime,port,osm,geo|https://overpass-api.de|Overpass — harbours and marine terminals|Overpass 港湾・海洋ターミナル|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22harbour%22%5D%2851.85%2C4.0%2C52.0%2C4.6%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22harbour%22%5D%2851.85%2C4.0%2C52.0%2C4.6%29%3Bout%20center%20100%3B|Harbour areas, quays, docks and marine terminals with their tags including operator, cargo type and vessel size limits. Terminal-level cargo tagging distinguishes a container berth from an oil jetty|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OVERPASS_RAILWAY_YARD|json|any|transport|rail-yard|transport,rail,osm,geo|https://overpass-api.de|Overpass — railway yards and freight terminals|Overpass 貨物駅・操車場|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22landuse%22%3D%22railway%22%5D%2851.3%2C-0.5%2C51.7%2C0.3%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22landuse%22%3D%22railway%22%5D%2851.3%2C-0.5%2C51.7%2C0.3%29%3Bout%20center%20100%3B|Railway land, yards, depots and freight terminals with operator and usage tags. Rail yards are the transfer points where cargo changes mode, and therefore where sanctioned freight is most often re-documented|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OVERPASS_AERODROME|json|any|aviation|aerodrome|aviation,airport,osm,geo|https://overpass-api.de|Overpass — aerodromes including military|Overpass 飛行場（軍用含む）|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22aerodrome%22%5D%2851.0%2C-1.0%2C52.0%2C0.5%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22aerodrome%22%5D%2851.0%2C-1.0%2C52.0%2C0.5%29%3Bout%20center%20100%3B|Aerodromes as mapped in OpenStreetMap including military and private fields, with ICAO code, operator, surface, elevation and the military tag where applicable. Community mapping records airstrips absent from civil aviation registers|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OVERPASS_HELIPAD|json|any|aviation|helipad|aviation,helipad,osm,geo|https://overpass-api.de|Overpass — helipads and helicopter landing sites|Overpass ヘリポート|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22helipad%22%5D%2851.0%2C-1.0%2C52.0%2C0.5%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22aeroway%22%3D%22helipad%22%5D%2851.0%2C-1.0%2C52.0%2C0.5%29%3Bout%20center%20100%3B|Helicopter landing sites with operator and surface, including hospital, corporate, offshore and military pads. Helipads mark the points at which a site is reachable without a runway, which matters for remote or restricted facilities|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OPENFLIGHTS_AIRLINES|csv|any|aviation|airline|aviation,airline,operator|https://openflights.org|OpenFlights — airline registry|OpenFlights 航空会社一覧|https://raw.githubusercontent.com/jpatokal/openflights/master/data/airlines.dat|https://raw.githubusercontent.com/jpatokal/openflights/master/data/airlines.dat|Airlines with IATA and ICAO codes, callsign, country and active status. The ICAO code and callsign are what link a radio transmission or a flight plan to a named operating company|csv_no_header=1;interval=21600;title_keys=col1;id_keys=col0
UNLOCODE_OVERPASS|json|any|maritime|customs-facility|maritime,customs,osm,geo|https://overpass-api.de|Overpass — customs and freight facilities|Overpass 税関・貨物施設|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22amenity%22%3D%22customs%22%5D%2845%2C5%2C48%2C12%29%3Bout%20center%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnwr%5B%22amenity%22%3D%22customs%22%5D%2845%2C5%2C48%2C12%29%3Bout%20center%20100%3B|Customs posts and bonded facilities with operator and opening hours. Customs facilities are the legal chokepoints where goods change jurisdiction, and their locations bound any physical smuggling hypothesis|array_path=elements;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
NOAA_CO_OPS_WATERLEVEL|json|any|maritime|water-level|ocean,tides,noaa,observation|https://tidesandcurrents.noaa.gov|NOAA CO-OPS — observed water levels|NOAA 実測潮位|https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=latest&station=8454000&product=water_level&datum=MLLW&units=metric&time_zone=gmt&format=json|https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=latest&station=8454000&product=water_level&datum=MLLW&units=metric&time_zone=gmt&format=json|Observed water level at a US tide station with the measurement time, quality flags and sigma. Water-level stations at ports are the ground truth behind a storm-surge or tsunami claim|array_path=data;interval=21600;title_keys=t;id_keys=t
NOAA_CO_OPS_CURRENTS|json|any|maritime|current-observation|ocean,currents,noaa,observation|https://tidesandcurrents.noaa.gov|NOAA CO-OPS — tidal current predictions|NOAA 潮流予測|https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=latest&station=cb0102&product=currents_predictions&units=metric&time_zone=gmt&format=json|https://api.tidesandcurrents.noaa.gov/api/prod/datagetter?date=latest&station=cb0102&product=currents_predictions&units=metric&time_zone=gmt&format=json|Predicted tidal current speed and direction at monitored channels. Current strength in a narrow channel determines the transit window for deep-draught vessels, which constrains when a large ship can move|array_path=current_predictions.cp;interval=21600;title_keys=Time;id_keys=Time
