id	verdict	shell_rc	sched_rc	emitted	stored	db_rows	available	secs	note
JO30_TOKYO_CRIME_CHOME_R8_6	COLLISION	0	0	5013	5012	5012	5013	4.9	1 of 5013 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R8_7	OK	0	0	5096	5096	5096	5096	5.1	
JO30_TOKYO_CRIME_CHOME_R8	OK	0	0	5156	5156	5156	5156	6.0	
JO30_TOKYO_CRIME_CHOME_R8_5	COLLISION	0	0	4877	4876	4876	4877	4.9	1 of 4877 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R8_3	COLLISION	0	0	4472	4471	4471	4472	4.2	1 of 4472 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R8_4	COLLISION	0	0	4711	4710	4710	4711	5.2	1 of 4711 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R8_2	COLLISION	0	0	3987	3986	3986	3987	4.2	1 of 3987 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R8_1	COLLISION	0	0	3156	3155	3155	3156	4.1	1 of 3156 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R7	COLLISION	0	0	5266	5264	5264	5266	5.4	2 of 5266 emitted records collapsed onto an already-written uid (rule 4b). EITHER the declared id is a dimension, not a record key (real loss — fix id_keys) OR the upstream genuinely repeats identical records (correct dedupe — not a bug). This tool cannot tell which: fetch the url and compare distinct id values to record count before treating it as a defect
JO30_TOKYO_CRIME_CHOME_R6	OK	0	0	5254	5254	5254	5254	5.3	
