url	reason
https://www.npa.go.jp/bureau/criminal/wanted/index.html	Navigation hub with only 3 internal links (to jyuyo1/jyuyo2/link.html) plus 2 static PDF posters; real content lives on the sub-pages, already assessed separately
https://www.npa.go.jp/bureau/criminal/wanted/jyuyo1.html	Anchor text is the referring prefecture's name, not the suspect's identity (suspect details are inline prose); html-mode extraction would lose the actual record content
https://www.npa.go.jp/bureau/criminal/wanted/jyuyo2.html	Same structural problem as jyuyo1.html: anchors point out to prefectural pages by name, not to per-suspect detail pages
https://www.npa.go.jp/publications/statistics/safetylife/jousei.html	Per-year PDF releases exist but no literal href/anchor example could be confirmed; per-table CSV subpages were not directly verified either
https://www.npa.go.jp/bureau/safetylife/sos47/index.html	Campaign/awareness homepage mixing narrative content, stats summary, videos and app promos with unrelated link types; no repeating per-item anchor structure, no data file
https://www.npa.go.jp/toukei/seianki/hanzaiopendatalink.html	Directory of 47 prefectural pages but domains too heterogeneous (opendata portals, keishicho, police.pref mixed) — no single reliable href_must substring; only ~1/3 of sampled examples share any candidate substring
https://www.npa.go.jp/bureau/cyber/index.html	Hybrid bureau homepage mixing narrative sections, a dated news list, and a static 15-item countermeasure menu — not one repeating record type
https://www.npa.go.jp/goiken_index.html	Pure navigation menu mixing unrelated link types (external tip hotline, cross-references to other pages, administrative procedure pages)
https://www.npa.go.jp/publications/statistics/koutsuu/index_jiko.html	Thin redirect/pointer page; the substantive statistical-release list lives on toukeihyo.html, already covered separately
https://www.npa.go.jp/publications/statistics/koutsuu/menkyo.html	Fiscal-year archive of PDF/XLSX/zip releases but no literal anchor href example was confirmed; the "CSV" link is actually a zip archive, not a raw CSV
https://www.npa.go.jp/publications/statistics/safetylife/dv.html	Linked CSV is a Shift_JIS multi-section pivot/summary table (age-bracket breakdowns), not per-record data; only one year's release present (thin)
https://www.npa.go.jp/publications/statistics/safetylife/syonen.html	Only 2 year-entries observed (thin, non-accumulating), and linked CSV is pivot-style rather than per-record
https://www.npa.go.jp/publications/statistics/safetylife/sounan.html	Only 2 years observed (thin); linked CSV is a cross-tab summary table (years as columns), not per-incident rows
https://www.npa.go.jp/publications/statistics/shitai/shitaitoukei.html	All links are PDF reports with inconsistent per-period naming (~6 mixed-shape links, no common href pattern)
https://www.npa.go.jp/publications/statistics/index.html	Static top-level navigation hub; every sub-page it links to is already assessed as its own row
https://www.kaiho.mlit.go.jp/doc/tel118.html	Narrative page describing the 118 emergency phone service; only 1 statistics PDF linked, no per-record structure
https://www6.kaiho.mlit.go.jp/info/marinesafety/jikotaisaku.html	Advisory/narrative safety-guidance content with a fixed set of PDF leaflets by activity type; no per-record data or feed
https://www6.kaiho.mlit.go.jp/watersafety/index.html	Narrative water-safety portal with a fixed set of activity-guide cards; no tabular/per-incident data or feed
https://www.kaiho.mlit.go.jp/info/kouhou/post-1278.html	Single already-published article inside the /info/kouhou/ archive, which is already covered as its own row; not itself a list
https://www.fdma.go.jp/disaster/	Long narrative/status page; its anchors are same-page table-of-contents jumps (#anchor--01 etc.), not per-record hrefs to distinct targets
https://www.fdma.go.jp/mission/prevention/rinyakasai/post.html	Static 47-row directory to distinct external prefectural domains (hokkaido.lg.jp, aomori.lg.jp, etc.) with no shared href substring at all
https://www.fdma.go.jp/publication/hakusho/r6/chapter1/section1/para1/67983.html	Narrative/statistical white-paper chapter with prose and a chart figure; no per-record link list, no downloadable file
https://www.police.pref.hokkaido.lg.jp/incident/08_wanted_criminal/wanted_criminal.html	Suspects displayed inline with photos/text on one page; no per-suspect detail-page anchors, no downloadable data
https://www.police.pref.hokkaido.lg.jp/map/map.html	Interactive map hosted on an external JS-rendered app (map.police.hokkaido.dsvc.jp); no API/JSON endpoint visible in this page's own HTML
https://www.police.pref.aomori.jp/keijibu/keiji_kikaku/tehai_kyoujo.html	Two embedded poster images only (click-to-enlarge); no per-suspect links, no downloadable data
https://www.pref.iwate.jp/kenkei/anzen/joho/sousa/3000346.html	Single dedicated case page (one suspect, a 2008 case), not a repeating list; no downloadable data file
https://www.pref.iwate.jp/kenkei/koho/opendata/3000711.html	Likely duplicate of already-registered Iwate open-data rows from a prior batch (this exact catalogue/file pair — iwate_2024buhinnerai.csv — matches this project's existing registered example)
https://www.police.pref.miyagi.jp/keiso/tehai/index.html	General narrative appeal page with two embedded poster images; no linked per-suspect detail pages, no downloadable data
https://www.police.pref.miyagi.jp/seian/gaitohanzai/securitymail/	Pure subscription/registration page for an opt-in email alert service; no archive of past alerts, no RSS/API feed
https://www.police.pref.akita.lg.jp/kenkei/inform	Topic-based navigation menu mixing unrelated link types (wanted cooperation, missing-persons corner, election-violation reporting); stale, most recent visible date 2023
https://www.police.pref.akita.lg.jp/kenkei/statistics	Heterogeneous library of one-off annual/topic PDF reports across five unrelated categories, not one repeating record type
https://www.pref.yamagata.jp/800054/kensei/police/yamagatakenkeisatsu/profile/shimeitehai.html	Single narrative appeal page; suspect images are embedded, not linked to distinct per-case targets
https://www.pref.ibaraki.jp/kenkei/a01_safety/map/crime.html	Descriptive page only; the actual map is an external JS app (map.police.ibaraki.dsvc.jp) with no JSON/CSV/API referenced in this page's source
https://www.pref.ibaraki.jp/kenkei/a01_safety/map/fushinsha.html	Same pattern as the crime map page: description pointing to an external JS map app, no API/data endpoint visible
https://www.pref.ibaraki.jp/kenkei/a04_jiken/open_criminal/index.html	Only a single case link present, not a repeating list; the rest of the page is category navigation
https://www.pref.ibaraki.jp/kenkei/a01_safety/statistics/shichoson.html	All figures published only as PDF reports, no CSV/XLSX/JSON, no HTML table
https://www.pref.tochigi.lg.jp/keisatu/n18/anzenanshin/hanzai_toukei.html	All statistics are PDF-only downloads (report-list page, not per-record data)
