# Batch 29 (agent B) — deepweb: public, unauthenticated searchable databases behind query forms and APIs
# (licence registers, court and tribunal records, procurement ledgers, debarment/sanctions lists, charity officers,
# adviser/broker registers, network registries, archive catalogues). Every row was fetched live while authoring;
# record counts quoted below are what the upstream reported at that time (Socrata count(*) or the API's own total).
# id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
JO29B_WA_DOH_PROVIDER_CREDENTIALS|json|any|licensing|professional-licence|us,washington,doh,health,licence,credential,socrata|https://data.wa.gov|Washington DOH health care provider credentials — name search|ワシントン州 医療従事者資格 検索|https://data.wa.gov/resource/qxh8-f4bd.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.wa.gov/resource/qxh8-f4bd.json?$q=smith&$select=:*,*&$order=:id&$limit=1000|Washington State Department of Health credential register, 2,453,429 rows: every licensed or certified health care provider with credential number, credential type, status, first/last issue and expiry dates and the enforcement action taken field. Full-text $q search across the table; an impossible name returns an empty array.|title_keys=lastname;id_keys=:id;date_keys=firstissuedate;page_param=$offset;page_size=1000
JO29B_WA_CPA_INDIVIDUALS|json|any|licensing|professional-licence|us,washington,cpa,accountant,licence,socrata|https://data.wa.gov|Washington State Board of Accountancy — certified public accountants|ワシントン州 公認会計士名簿|https://data.wa.gov/resource/6du3-3h9e.json?$select=:*,*&$order=:id&$limit=5000|https://data.wa.gov/resource/6du3-3h9e.json?$select=:*,*&$order=:id&$limit=5000|Register of 51,463 Washington CPA licence holders with name, city, state, country, licence number, status, original issue and expiry. Walked end to end in 5,000-row pages.|title_keys=lastname;id_keys=:id;date_keys=originalissue;page_param=$offset;page_size=5000;page_max=14;interval=604800
JO29B_WA_CPA_FIRMS|json|any|licensing|professional-licence|us,washington,cpa,firm,licence,socrata|https://data.wa.gov|Washington State Board of Accountancy — licensed CPA firms|ワシントン州 会計事務所名簿|https://data.wa.gov/resource/pzcu-jpab.json?$select=:*,*&$order=:id&$limit=5000|https://data.wa.gov/resource/pzcu-jpab.json?$select=:*,*&$order=:id&$limit=5000|2,359 licensed CPA firms with firm name, city, state, firm number, registration and expiry dates and entity description.|title_keys=firmname;id_keys=:id;date_keys=registered;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_TX_TDLR_ALL_LICENSES|json|any|licensing|professional-licence|us,texas,tdlr,licence,occupational,socrata|https://data.texas.gov|Texas TDLR — all occupational licences (name search)|テキサス州 TDLR 職業免許 検索|https://data.texas.gov/resource/tm3v-pfq9.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.texas.gov/resource/tm3v-pfq9.json?$q=smith&$select=:*,*&$order=:id&$limit=1000|Texas Department of Licensing and Regulation master licence file, 511,903 rows: licence type, holder name, year of birth, licence number, issue/expiry, registration status and disciplinary status. Searched with Socrata full-text $q.|title_keys=last_name;id_keys=:id;date_keys=license_issue_date;page_param=$offset;page_size=1000
JO29B_TX_BON_REGISTERED_NURSES|json|any|licensing|professional-licence|us,texas,nursing,rn,licence,socrata|https://data.texas.gov|Texas Board of Nursing — registered nurse licences (name search)|テキサス州 看護師免許 検索|https://data.texas.gov/resource/tgb2-j935.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://data.texas.gov/resource/tgb2-j935.json?$q=smith&$select=:*,*&$order=:id&$limit=1000|All 793,555 registered nurse licences issued by the Texas Board of Nursing with licence number, name, status and status date, expiry, original licensure state, advanced-practice recognition and last renewal.|title_keys=last_name;id_keys=:id;date_keys=texas_license_issuance_date;page_param=$offset;page_size=1000
JO29B_IL_IDFPR_PROFESSIONAL_LICENSING|json|any|licensing|professional-licence|us,illinois,idfpr,licence,business,socrata|https://illinois-edp.data.socrata.com|Illinois IDFPR professional licensing — name/business search|イリノイ州 専門職免許 検索|https://illinois-edp.data.socrata.com/resource/pzzh-kp68.json?$q={q}&$select=:*,*&$order=:id&$limit=1000|https://illinois-edp.data.socrata.com/resource/pzzh-kp68.json?$q=smith&$select=:*,*&$order=:id&$limit=1000|Illinois Department of Financial and Professional Regulation licence table, 4,282,409 rows covering individuals and businesses: licence type, number, status, holder or business name and DBA, original issue, effective and expiry dates, city and state.|title_keys=last_name,business_name;id_keys=:id;date_keys=original_issue_date;page_param=$offset;page_size=1000
JO29B_ACT_LICENSED_PROFESSIONALS|json|any|licensing|professional-licence|australia,act,licence,builder,occupational,socrata|https://www.data.act.gov.au|ACT Access Canberra — list of licensed professionals|豪州首都特別地域 免許専門職一覧|https://www.data.act.gov.au/resource/de4w-gbt3.json?$select=:*,*&$order=:id&$limit=5000|https://www.data.act.gov.au/resource/de4w-gbt3.json?$select=:*,*&$order=:id&$limit=5000|32,016 ACT occupational licences (builders, electricians, plumbers, real estate and others) with licensee surname and given names, licence number, occupation and class, conditions, company ACN, partners, nominees and licence status.|title_keys=surname;id_keys=:id;date_keys=expiry_date;page_param=$offset;page_size=5000;page_max=9;interval=604800
JO29B_ACT_ENGINEERS_REGISTER|json|any|licensing|professional-licence|australia,act,engineer,register,socrata|https://www.data.act.gov.au|ACT Engineers Public Register|豪州首都特別地域 技術者登録簿|https://www.data.act.gov.au/resource/piuu-cqvu.json?$select=:*,*&$order=:id&$limit=5000|https://www.data.act.gov.au/resource/piuu-cqvu.json?$select=:*,*&$order=:id&$limit=5000|1,009 engineers registered under the ACT Professional Engineers Act with identifier, name, registration period, status, licence class and verification status.|title_keys=name;id_keys=:id;date_keys=periodstart;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_ACT_DISCIPLINARY_ACTIONS|json|any|legal|disciplinary-action|australia,act,licence,discipline,enforcement,socrata|https://www.data.act.gov.au|ACT Register of Disciplinary Actions against licensees|豪州首都特別地域 懲戒処分登録簿|https://www.data.act.gov.au/resource/avib-prrz.json?$select=:*,*&$order=:id&$limit=5000|https://www.data.act.gov.au/resource/avib-prrz.json?$select=:*,*&$order=:id&$limit=5000|377 disciplinary actions taken by Access Canberra against occupational licensees: licensee name, licence number, occupation, action type, action start/end dates, the circumstances and reasons, and whether the action is under ACAT review.|title_keys=licensee_name;id_keys=:id;date_keys=action_date;page_param=$offset;page_size=5000;page_max=3;interval=604800
JO29B_NY_TOBACCO_VAPOR_DEALERS|json|any|licensing|business-licence|us,newyork,tobacco,vapor,retail,registry,socrata|https://data.ny.gov|New York registered retail dealers of cigarettes, tobacco and vapor products|ニューヨーク州 たばこ・電子たばこ販売業者登録|https://data.ny.gov/resource/55xf-9jat.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/55xf-9jat.json?$select=:*,*&$order=:id&$limit=5000|22,138 dealers registered with the NYS Department of Taxation and Finance with legal or business name, DBA, physical address and the cigarette/vapor registration type.|title_keys=last_or_bus_name;id_keys=:id;page_param=$offset;page_size=5000;page_max=7;interval=604800
JO29B_NY_CONTRACTOR_REGISTRY|json|any|licensing|business-licence|us,newyork,contractor,registry,construction,socrata|https://data.ny.gov|New York State Contractor Registry certificates|ニューヨーク州 建設請負業者登録証|https://data.ny.gov/resource/i4jv-zkey.json?$select=:*,*&$order=:id&$limit=5000|https://data.ny.gov/resource/i4jv-zkey.json?$select=:*,*&$order=:id&$limit=5000|14,674 certificates in the NYS Department of Labor contractor registry (mandatory for public-work bidders) with certificate number, business name and type, MWBE and publicly-traded flags, address, phone, issue/expiry dates and status.|title_keys=business_name;id_keys=:id;date_keys=issued_date;page_param=$offset;page_size=5000;page_max=5;interval=604800
