url	reason
https://teideninfo.tepco.co.jp/	BOT_WALL (Akamai 403 to every non-browser client; TEPCO PG outage map)
https://teideninfo.tepco.co.jp/html/00000000000.html	BOT_WALL (Akamai 403)
https://www.jepx.jp/js/csv_read.php?dir=spot_bid_curves&file=spot_bid_curves_2026.csv	EMPTY_RESULTSET (0-byte 200; filename pattern differs, not found)
https://www.jepx.jp/js/csv_read.php?dir=im_summary&file=im_summary_2026.csv	EMPTY_RESULTSET (0-byte 200)
https://www.jepx.jp/_download.php?dir=spot_summary&file=spot_summary_2026.csv	EMPTY_RESULTSET (0-byte 200; csv_read.php with Referer is the working form -> kept)
https://www.jepx.jp/js/csv_read.php?dir=spot_summary&file=spot_summary_2025.csv	EMPTY_RESULTSET (0 bytes; prior-year file no longer served)
https://www.water.go.jp/honsya/honsya/news/rss.xml	DEAD (404)
https://www.water.go.jp/honsya/honsya/dam/index.html	DEAD (404)
https://www.water.go.jp/honsya/honsya/topics/index.html	DEAD (404)
https://www.water.go.jp/honsya/honsya/news/	NOT_RECORDS (html list without dated anchors distinguishable from nav; kisya index kept instead)
https://www.narita-airport.jp/api/flight/v1/arrivals?lang=ja	DEAD (404)
https://www.narita-airport.jp/_next/data/Fc2uMvnxNa94OHFblmkmA/ja/flight/arr-search.json	NOT_STABLE (works but the Next.js buildId in the path changes on every deploy; not expressible as a static manifest URL)
https://www.narita-airport.jp/_next/data/	DEAD (404)
https://www.narita-airport.jp/ja/flight/arr-search/	NOT_RECORDS (Next.js SPA shell; flight data fetched client-side)
https://www.kddi.com/corporate/news_release/rss.xml	DEAD (404; feed lives on newsroom.kddi.com -> kept)
https://www.kddi.com/rss/news.xml	DEAD (404)
https://www.kddi.com/important/	DEAD (404)
https://www.docomo.ne.jp/info/notice/rss.xml	DEAD (404; real feeds are /info/rss/*.rdf -> kept)
https://www.docomo.ne.jp/info/network/	NOT_RECORDS (html page; rdf feed kept instead)
https://www.tokyo-gas.co.jp/rss/news.xml	DEAD (404)
https://www.tokyo-gas.co.jp/	NOT_RECORDS (no feed autodiscovered)
https://www.tokyo-gas.co.jp/network/	NOT_RECORDS (no feed or data endpoint on Tokyo Gas Network page)
https://www.osakagas.co.jp/	DEAD (TCP timeout on every attempt, IPv4 and HTTP/1.1 included)
https://www.osakagas.co.jp/rss/news.xml	DEAD (timeout)
https://www.osakagas.co.jp/rss/press.xml	DEAD (timeout)
https://traininfo.jreast.co.jp/train_info/kanto.aspx	BOT_WALL (Akamai 403)
https://www.jreast.co.jp/	BOT_WALL (Akamai 403 to every non-browser client)
https://www.jreast.co.jp/rss/press.xml	BOT_WALL (Akamai 403)
https://www.tokyometro.jp/	BOT_WALL (Akamai 403)
https://www.tokyometro.jp/unkou/index.html	BOT_WALL (Akamai 403)
https://www.kotsu.metro.tokyo.jp/	BOT_WALL (Incapsula challenge)
https://www.kotsu.metro.tokyo.jp/rss/	BOT_WALL (Incapsula challenge)
https://www.jrfreight.co.jp/rss.xml	DEAD (CMS error page with 200)
https://www.jrfreight.co.jp/i/index.html	DEAD (CMS error page)
https://www.jrfreight.co.jp/info/	NOT_RECORDS (html, no feed or data endpoint found)
https://www.jrfreight.co.jp/service/info.html	DEAD (CMS error page)
https://www.japc.co.jp/rss.xml	DEAD (404)
https://www.japc.co.jp/feed/	DEAD (404)
https://www.japc.co.jp/atom/index.html	NOT_RECORDS (page about atomic power, not an Atom feed; no feed on site)
https://www.enecho.meti.go.jp/rss/index.rdf	DEAD (403/404 page)
https://www.enecho.meti.go.jp/rss/	DEAD (403)
https://www.enecho.meti.go.jp/news/rss/index.xml	DEAD (403)
https://www.enecho.meti.go.jp/category/electricity_and_gas/electric/summary/retailers_list/	NOT_RECORDS (registered retailer list is an html table with 12 anchors, none per-retailer)
https://www.fit-portal.go.jp/PublicInfoSummary	NOT_RECORDS (Salesforce Visualforce page; data only via session-bound POST)
https://www.e-nexco.co.jp/rss/	DEAD (connection reset; /whatsnew/newly.xml kept instead)
https://www.c-nexco.co.jp/rss/	DEAD (404)
