# Batch 21 - envreg: EPA Envirofacts tables the tree did not carry, as ENTITY
# PIVOTS rather than bulk head-of-table reads.
#
# SCOPE. The tree already reaches data.epa.gov/efservice for FRS, TRI facility,
# GHG and a handful of `rows/0:0` shape probes. What it did not carry is the
# whole SDWIS drinking-water model (public water systems, their facilities,
# their treatment trains, their violations, their enforcement actions and their
# lead-and-copper sampling), the TRI child tables behind a reporting form, the
# PCS/NPDES permit history tables, and the FRS cross-reference tables. Each
# table below was confirmed to exist by fetching it; the ones that answered
# `{"error": "<table>: The table is not available."}` are recorded as rejects
# rather than written from the data model documentation - rmp_facility,
# sems_active_sites, rcra_handler, icis_case, tri_submission and eleven others
# are documented Envirofacts tables that this REST service does not serve.
#
# PAGINATION. Envirofacts expresses the result window as a PATH segment
# (/rows/<start>:<end>), not as a query parameter, so there is no parameter for
# the engine to increment and every row declares `pagination_ok` saying so.
# Each row asks for rows 0:9999. Every keyed query measured here returned far
# fewer than that: the largest was violation/pwsid with 40 KB of records for
# one water system.
#
# TRAP measured here, and it is the one that matters: Envirofacts SILENTLY
# IGNORES a filter on a column the table does not have and answers HTTP 200
# with the unfiltered table. `tri_reporting_form/facility_name/CONTAINING/DOW`
# returns 10,000 records - the window cap - whose first record is byte-identical
# to the first record of the unfiltered table, because tri_reporting_form has no
# facility_name column at all. That row was written, probed PASS, and would have
# answered every query with the same ten thousand unrelated forms. It is now
# keyed on tri_facility_id, which was verified to filter (66 records for a real
# id, [] for a nonexistent one). Every other row's filter column was checked the
# same way: query a value that does not exist and confirm the answer is empty.
#
# REMOVED for cause: icis_facility_interest by facility name. A CONTAINING query
# on a common string returns 16.9 MB in 26 s and hits the 10,000-row window cap
# with no way to page past it, a BEGINNING query takes 36 s - past the engine's
# 30 s HTTP timeout - and one of the four measurement fetches came back as
# malformed JSON. Slow, capped and intermittently invalid is not a shippable
# row. It is in the rejects file.
#
# Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
EPA_SDWIS_SYSTEM_BY_NAME|json|any|environment|water-system-record|epa,drinking-water,sdwis,utility,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - public water systems by name|EPA 上水道事業者 名称検索|https://data.epa.gov/efservice/water_system/pws_name/CONTAINING/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/water_system/pws_name/CONTAINING/SPRING/rows/0:9999/JSON|Every public water system in the United States whose name contains the search string with its PWSID the population served the system type the owner type the primacy agency the administrative contact name address and phone and the service connection counts. The PWSID this returns is the key every other SDWIS table below is pivoted on|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment\; the row requests rows 0:9999;title_keys=pws_name;id_keys=pwsid;date_keys=pws_activity_date
EPA_SDWIS_SYSTEM_BY_ID|json|numeric|environment|water-system-record|epa,drinking-water,sdwis,utility,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - public water system by PWSID|EPA 上水道事業者 PWSID照会|https://data.epa.gov/efservice/water_system/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/water_system/pwsid/010106001/rows/0:9999/JSON|The full inventory record for one public water system keyed on its PWSID - ownership type source water type seasonal operating window population served wholesaler status primacy agency the EPA region and the named administrative contact with postal address and telephone. This is the identity record behind a drinking-water violation|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment\; a PWSID is unique so this returns one record;title_keys=pws_name;id_keys=pwsid;date_keys=pws_activity_date
EPA_SDWIS_FACILITY|json|numeric|environment|water-facility-record|epa,drinking-water,sdwis,infrastructure,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - water system facilities|EPA 上水道施設|https://data.epa.gov/efservice/water_system_facility/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/water_system_facility/pwsid/010106001/rows/0:9999/JSON|Every physical facility that makes up one public water system - each well intake treatment plant storage tank distribution system and consecutive connection with its facility id type activity status availability and whether it is a source of supply. This is the asset inventory of a drinking-water utility at named-component granularity|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment\; the largest facility list measured for one PWSID was 16 KB;title_keys=facility_name;id_keys=facility_id
EPA_SDWIS_TREATMENT|json|numeric|environment|water-treatment-record|epa,drinking-water,sdwis,treatment,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - treatment processes|EPA 上水道処理工程|https://data.epa.gov/efservice/treatment/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/treatment/pwsid/010106001/rows/0:9999/JSON|The treatment train installed at each facility of a water system - the treatment objective the treatment process code the comment text describing the plant and the facility it belongs to. What a utility actually does to its water is the fact that decides whether a given contaminant detection is a failure or a design limit|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=treatment_id;id_keys=treatment_id;body_keys=comments_text
EPA_SDWIS_VIOLATION|json|numeric|environment|violation-record|epa,drinking-water,sdwis,violation,compliance,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - drinking water violations|EPA 上水道違反記録|https://data.epa.gov/efservice/violation/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/violation/pwsid/010106001/rows/0:9999/JSON|Every Safe Drinking Water Act violation recorded against one water system - the contaminant the violation category the measured value against the federal limit the compliance period the public-notification tier and whether the violation is still open. The compliance history of the utility that supplies a named population|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment\; the largest violation list measured for one PWSID was 40 KB;title_keys=violation_id;id_keys=violation_id;date_keys=compl_per_begin_date
EPA_SDWIS_ENFORCEMENT|json|numeric|environment|enforcement-record|epa,drinking-water,sdwis,enforcement,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - drinking water enforcement actions|EPA 上水道 執行措置|https://data.epa.gov/efservice/enforcement_action/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/enforcement_action/pwsid/010106001/rows/0:9999/JSON|Formal and informal enforcement actions taken against one public water system with the action type code the date the originating agency and the enforcement comment. Enforcement is the state's response to the violation record and the pair together shows whether a regulator acted|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=enforcement_id;id_keys=enforcement_id;date_keys=enforcement_date
EPA_SDWIS_LCR_SAMPLE|json|numeric|environment|sampling-record|epa,drinking-water,lead,copper,sdwis,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - lead and copper sampling summary|EPA 鉛銅サンプリング概要|https://data.epa.gov/efservice/lcr_sample/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/lcr_sample/pwsid/010106001/rows/0:9999/JSON|Lead and Copper Rule sampling rounds for one water system - the sampling window the number of samples required and taken and the reconciliation identifier. Lead sampling is the single most consequential drinking-water record for a household and this is the summary of every round a utility ran|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=sample_id;id_keys=sample_id;date_keys=sampling_end_date
EPA_SDWIS_LCR_RESULT|json|numeric|environment|sampling-record|epa,drinking-water,lead,copper,sdwis,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - lead and copper sample results|EPA 鉛銅サンプル測定値|https://data.epa.gov/efservice/lcr_sample_result/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/lcr_sample_result/pwsid/010106001/rows/0:9999/JSON|The individual lead and copper measurements behind each sampling round - the contaminant code the sample measure the unit of measure the result sign code and the sampling location identifier. The per-sample numbers rather than the ninetieth-percentile summary the utility publishes|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=sar_id;id_keys=sar_id
EPA_SDWIS_SERVICE_AREA|json|numeric|environment|service-area-record|epa,drinking-water,sdwis,service-area,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - water system service areas|EPA 上水道給水区域|https://data.epa.gov/efservice/service_area/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/service_area/pwsid/010106001/rows/0:9999/JSON|What kind of population a water system actually serves - residential area school daycare hospital prison military base or migrant labour camp - and which of those is its primary service area. A water system serving a prison or a school district is a different exposure question from one serving a resort|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=service_area_type_code;id_keys=service_area_type_code
EPA_SDWIS_GEO_AREA|json|numeric|environment|service-area-record|epa,drinking-water,sdwis,geography,usa|https://enviro.epa.gov/envirofacts|EPA SDWIS - water system geographic areas|EPA 上水道 地理区域|https://data.epa.gov/efservice/geographic_area/pwsid/{qU}/rows/0:9999/JSON|https://data.epa.gov/efservice/geographic_area/pwsid/010106001/rows/0:9999/JSON|The counties cities zip codes and tribal areas a public water system supplies. This is the table that turns a PWSID into a place and therefore the join that lets a drinking-water violation be attached to a named town rather than to an opaque identifier|pagination_ok=Envirofacts windows results with a /rows/start:end PATH segment and has no query parameter to increment;title_keys=city_served,county_served,area_type_code;id_keys=geo_id
