# Batch 18-E — energy, electricity, nuclear, commodities and extractive industry.
# Pipe-delimited. Columns: id|mode|want|category|record_type|tags|portal|name|name_ja|url|probe|description|opts
# Generated into collectors/pivot/table/hp3_energy.c by tools/gen_hp_batch.py.
WORLDBANK_RENEWABLE_SHARE|json|any|energy|renewable-capacity|energy,renewable,capacity,global|https://data.worldbank.org|World Bank - renewable electricity share by country|世界銀行 再生可能電力比率|https://api.worldbank.org/v2/country/all/indicator/EG.ELC.RNEW.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/EG.ELC.RNEW.ZS?format=json&per_page=200|Renewable electricity output as a share of total generation for every country and year, on a consistent international basis. The trend line is the measurable test of a stated energy transition commitment|interval=21600
WORLDBANK_NUCLEAR_SHARE|json|any|energy|nuclear-reactor|nuclear,energy,iaea,facility|https://data.worldbank.org|World Bank - nuclear electricity share by country|世界銀行 原子力電力比率|https://data.worldbank.org/api/v2/country/all/indicator/EG.ELC.NUCL.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/EG.ELC.NUCL.ZS?format=json&per_page=200|Nuclear electricity as a share of national generation for every country and year. Combined with reactor-level status, an unexplained drop identifies an unannounced outage at a specific plant|interval=86400
OPENEI_UTILITY_RATES|json|any|energy|utility-rate|energy,utility,tariff,us|https://openei.org|OpenEI — US utility rate database|OpenEI 米国電力料金データベース|https://api.openei.org/utility_rates?version=latest&format=json&api_key=DEMO_KEY&limit=100|https://api.openei.org/utility_rates?version=latest&format=json&api_key=DEMO_KEY&limit=100|Published electricity tariffs for US utilities with the utility name, sector, energy and demand charges and the effective dates. Tariff structure identifies which industrial consumers a utility is built to serve|key_env=JO_OPENEI_KEY;array_path=items;free_tier=0;interval=21600
WORLDBANK_CO2_EMISSIONS|json|any|environment|emissions|climate,emissions,carbon,global|https://data.worldbank.org|World Bank - national CO2 emissions|世界銀行 国別CO2排出量|https://api.worldbank.org/v2/country/all/indicator/EN.GHG.CO2.MT.CE.AR5?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/EN.GHG.CO2.MT.CE.AR5?format=json&per_page=200|National CO2 emissions by country and year on a harmonised accounting basis. The denominator for every emissions-intensity and carbon-border claim|interval=21600
WORLDBANK_ORES_METALS_EXPORTS|json|any|energy|mineral-commodity|mining,commodities,minerals,strategic|https://data.worldbank.org|World Bank - ores and metals export share|世界銀行 鉱物金属輸出比率|https://api.worldbank.org/v2/country/all/indicator/TX.VAL.MMTL.ZS.UN?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/TX.VAL.MMTL.ZS.UN?format=json&per_page=200|Ores and metals as a share of merchandise exports by country and year — the macro indicator of extractive dependence, and the context for any single-mine or single-commodity supply disruption|interval=21600
WORLDBANK_MINERAL_RENTS|json|any|energy|extractive-transparency|mining,oil,transparency,governance|https://data.worldbank.org|World Bank - mineral rents as share of GDP|世界銀行 鉱物レント対GDP比|https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MINR.RT.ZS?format=json&per_page=200|https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MINR.RT.ZS?format=json&per_page=200|Mineral rents as a share of GDP for every country and year. Rent share is the standard quantitative proxy for the exposure of a state budget to extractive revenue, and therefore to commodity-price coercion|interval=21600
OVERPASS_MILITARY|json|any|government|military-site|military,osm,geo,facility|https://overpass-api.de|Overpass — military sites and installations|Overpass 軍事施設|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnode%5B%22military%22%5D%2851.4%2C-0.2%2C51.6%2C0.05%29%3Bout%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnode%5B%22military%22%5D%2851.4%2C-0.2%2C51.6%2C0.05%29%3Bout%20100%3B|Military installations recorded in OpenStreetMap — airfields, barracks, bunkers, danger areas, naval bases and training grounds — with every tag the mapper recorded including operator and branch. Community mapping covers installations that national cartography deliberately omits|array_path=elements;lat_key=lat;lon_key=lon;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
OVERPASS_TELECOM_MAST|json|any|telecom|communication-tower|telecom,osm,geo,infrastructure|https://overpass-api.de|Overpass — communication masts and towers|Overpass 通信塔|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnode%5B%22man_made%22%3D%22mast%22%5D%2851.4%2C-0.2%2C51.6%2C0.05%29%3Bout%20100%3B|https://overpass-api.de/api/interpreter?data=%5Bout%3Ajson%5D%5Btimeout%3A25%5D%3Bnode%5B%22man_made%22%3D%22mast%22%5D%2851.4%2C-0.2%2C51.6%2C0.05%29%3Bout%20100%3B|Communication masts and towers with height, operator, and the services carried where tagged. Combined with a spectrum licence register, a mast record locates a licensed transmitter to a physical structure|array_path=elements;lat_key=lat;lon_key=lon;header1=User-Agent: JapanOSINT-research/1.0 (+https://github.com/);interval=86400
NASA_POWER_CLIMATE|json|any|environment|climate-observation|climate,weather,nasa,energy|https://power.larc.nasa.gov|NASA POWER — surface solar and meteorology|NASA POWER 地表気象|https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M%2CWS10M%2CALLSKY_SFC_SW_DWN&community=RE&longitude=139.7&latitude=35.7&start=20240101&end=20240131&format=JSON|https://power.larc.nasa.gov/api/temporal/daily/point?parameters=T2M%2CWS10M%2CALLSKY_SFC_SW_DWN&community=RE&longitude=139.7&latitude=35.7&start=20240101&end=20240131&format=JSON|NASA satellite-derived surface meteorology and solar irradiance for any point on earth: temperature, wind speed, humidity and insolation as daily series. Provides ground-truth weather for locations with no ground station, which is most of the world|interval=3600
GDACS_VOLCANO|json|any|disaster|volcano-event|hazard,volcano,disaster,geo|https://www.gdacs.org|GDACS — volcanic activity alerts|GDACS 火山活動警報|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=VO|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=VO|Volcanic events tracked by the joint UN and European Commission alert system with alert level, the volcano identity, the population within each exposure radius and the event geometry|interval=3600
GDACS_TROPICAL_CYCLONE|json|any|disaster|cyclone|hazard,cyclone,disaster,geo|https://www.gdacs.org|GDACS — tropical cyclone tracks and alerts|GDACS 熱帯低気圧警報|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=TC|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=TC|Active and recent tropical cyclones with the forecast track, wind radii, alert level and the population exposed at each intensity. The exposure figures are what turn a meteorological track into an operational picture|interval=3600
GDACS_FLOOD|json|any|disaster|flood|hazard,flood,disaster,geo|https://www.gdacs.org|GDACS — flood events and alerts|GDACS 洪水警報|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=FL|https://www.gdacs.org/gdacsapi/api/events/geteventlist/SEARCH?eventlist=FL|Flood events with the affected river basin, alert level, estimated affected population and the event footprint. Basin-level attribution links a flood to the upstream infrastructure that may have contributed to it|interval=3600
USGS_WATER_SITES|json|any|environment|water-gauge|water,hydrology,usgs,geo|https://waterservices.usgs.gov|USGS — surface water gauge readings|USGS 水文観測|https://waterservices.usgs.gov/nwis/iv/?format=json&stateCd=ca&parameterCd=00060&siteStatus=active|https://waterservices.usgs.gov/nwis/iv/?format=json&stateCd=ca&parameterCd=00060&siteStatus=active|Instantaneous streamflow and gauge height from the US national hydrological network, with the site identity, coordinates and the reading time series. A sudden discharge change downstream of a dam is directly observable here|array_path=value.timeSeries;interval=86400
NOAA_TIDES_STATIONS|json|any|environment|tide-station|ocean,tides,noaa,geo|https://tidesandcurrents.noaa.gov|NOAA — tide and current stations|NOAA 潮汐観測所|https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations.json?type=waterlevels|https://api.tidesandcurrents.noaa.gov/mdapi/prod/webapi/stations.json?type=waterlevels|The US tide and water-level station network with coordinates, datum, the parameters each station reports and its operating status. Water-level stations double as a storm-surge and tsunami observation network|array_path=stations;lat_key=lat;lon_key=lng;interval=86400
